2015,,,
UF = Rondônia,Admitidos,Desligados,Saldo
Extrativa mineral,199,-285,-86
Indústria de transformação,9,-9,-205
Serviços Industriais de Utilidade Pública,417,-352,65
Construção Civil,8,-12,-5
Comércio,20,-21,-2
Serviços,14,-14,522
Administração Pública,310,-196,114
"Agropecuária, extração vegetal, caça e pesca",4,-4,40
Total,55,-61,-6
,,,
UF = Acre,Admitidos,Desligados,Sald0
Extrativa mineral,8,-7,1
Indústria de transformação,1,-973,184
Serviços Industriais de Utilidade Pública,92,-57,35
Construção Civil,1,-2,-822
Comércio,4,-4,-437
Serviços,4,-4,-147
Administração Pública,38,-69,-31
"Agropecuária, extração vegetal, caça e pesca",828,-866,-38
Total,11,-12,-1
,,,
,,,
UF = Amazonas,Admitidos,Desligados,Saldo
Extrativa mineral,36,-270,-234
Indústria de transformação,19,-27,-8
Serviços Industriais de Utilidade Pública,462,-635,-173
Construção Civil,6,-7,-943
Comércio,18,-21,-2
Serviços,24,-27,-3
Administração Pública,28,-47,-19
"Agropecuária, extração vegetal, caça e pesca",685,-605,80
Total,69,-83,-14
,,,
,,,
UF = Roraima,Admitidos,Desligados,Saldo
Extrativa mineral,31,-28,3
Indústria de transformação,537,-518,19
Serviços Industriais de Utilidade Pública,185,-133,52
Construção Civil,1,-1,-451
Comércio,5,-5,-352
Serviços,3,-3,-5
Administração Pública,14,-47,-33
"Agropecuária, extração vegetal, caça e pesca",286,-275,11
Total,10,-11,-756
,,,
,,,
UF = Para,Admitidos,Desligados,Saldo
Extrativa mineral,1,-1,-15
Indústria de transformação,16,-18,-2
Serviços Industriais de Utilidade Pública,726,-805,-79
Construção Civil,33,-39,-6
Comércio,36,-39,-2
Serviços,39,-40,-478
Administração Pública,104,-352,-248
"Agropecuária, extração vegetal, caça e pesca",11,-13,-1
Total,138,-150,-12
,,,
,,,
UF = Amapa,Admitidos,Desligados,Saldo
Extrativa mineral,110,-561,-451
Indústria de transformação,543,-732,-189
Serviços Industriais de Utilidade Pública,50,-94,-44
Construção Civil,707,-2,-1
Comércio,4,-6,-1
Serviços,3,-4,-393
Administração Pública,73,-54,19
"Agropecuária, extração vegetal, caça e pesca",160,-119,41
Total,9,-13,-3
,,,
,,,
UF = Tocantins,Admitidos,Desligados,Saldo
Extrativa mineral,158,-457,-299
Indústria de transformação,4,-3,528
Serviços Industriais de Utilidade Pública,202,-237,-35
Construção Civil,5,-6,-807
Comércio,10,-10,-425
Serviços,10,-9,1
Administração Pública,28,-16,12
"Agropecuária, extração vegetal, caça e pesca",4,-4,15
Total,34,-34,48
,,,
,,,
UF = Maranhão,Admitidos,Desligados,Saldo
Extrativa mineral,171,-594,-423
Indústria de transformação,6,-6,-145
Serviços Industriais de Utilidade Pública,1,-435,627
Construção Civil,16,-20,-4
Comércio,20,-23,-3
Serviços,25,-28,-3
Administração Pública,242,-163,79
"Agropecuária, extração vegetal, caça e pesca",7,-7,259
Total,76,-85,-9
,,,
,,,
UF = Piaui,Admitidos,Desligados,Saldo
Extrativa mineral,66,-98,-32
Indústria de transformação,4,-4,-230
Serviços Industriais de Utilidade Pública,1,-311,776
Construção Civil,10,-14,-4
Comércio,12,-12,-375
Serviços,20,-16,4
Administração Pública,11,-35,-24
"Agropecuária, extração vegetal, caça e pesca",2,-3,-115
Total,49,-49,128
,,,
,,,
UF = Ceará,Admitidos,Desligados,Saldo
Extrativa mineral,377,-533,-156
Indústria de transformação,37,-43,-6
Serviços Industriais de Utilidade Pública,2,-1,772
Construção Civil,33,-34,-1
Comércio,47,-53,-5
Serviços,79,-79,-698
Administração Pública,738,-409,329
"Agropecuária, extração vegetal, caça e pesca",4,-7,-2
Total,203,-217,-14
,,,
,,,
UF = Rio Grande do Norte,Admitidos,Desligados,Saldo
Extrativa mineral,687,-848,-161
Indústria de transformação,8,-12,-4
Serviços Industriais de Utilidade Pública,512,-363,149
Construção Civil,13,-15,-2
Comércio,17,-19,-1
Serviços,30,-27,3
Administração Pública,58,-319,-261
"Agropecuária, extração vegetal, caça e pesca",2,-5,-3
Total,71,-79,-8
,,,
,,,
UF = Paraíba,Admitidos,Desligados,Saldo
Extrativa mineral,134,-179,-45
Indústria de transformação,9,-14,-5
Serviços Industriais de Utilidade Pública,634,-426,208
Construção Civil,12,-16,-4
Comércio,16,-17,-947
Serviços,23,-23,397
Administração Pública,19,-14,5
"Agropecuária, extração vegetal, caça e pesca",1,-5,-4
Total,63,-76,-13
,,,
,,,
UF = Pernambuco,Admitidos,Desligados,Saldo
Extrativa mineral,197,-341,-144
Indústria de transformação,29,-54,-25
Serviços Industriais de Utilidade Pública,2,-2,-295
Construção Civil,27,-42,-16
Comércio,43,-51,-8
Serviços,85,-94,-9
Administração Pública,140,-159,-19
"Agropecuária, extração vegetal, caça e pesca",9,-13,-5
Total,194,-257,-63
,,,
,,,
UF = Alagoas,Admitidos,Desligados,Saldo
Extrativa mineral,87,-64,23
Indústria de transformação,5,-31,-26
Serviços Industriais de Utilidade Pública,283,-282,1
Construção Civil,9,-10,-1
Comércio,11,-12,-2
Serviços,20,-16,4
Administração Pública,62,-98,-36
"Agropecuária, extração vegetal, caça e pesca",848,-2,-730
Total,46,-72,-25
,,,
,,,
UF = Sergipe,Admitidos,Desligados,Saldo
Extrativa mineral,51,-149,-98
Indústria de transformação,8,-9,-836
Serviços Industriais de Utilidade Pública,483,-413,70
Construção Civil,7,-8,-578
Comércio,9,-10,-753
Serviços,18,-18,-37
Administração Pública,40,-182,-142
"Agropecuária, extração vegetal, caça e pesca",2,-6,-4
Total,45,-51,-6
,,,
,,,
UF = Bahia,,Desligados,Saldo
Extrativa mineral,1,-1,-11
Indústria de transformação,33,-33,173
Serviços Industriais de Utilidade Pública,2,-2,-236
Construção Civil,47,-62,-15
Comércio,65,-72,-7
Serviços,116,-120,-4
Administração Pública,2,-1,480
"Agropecuária, extração vegetal, caça e pesca",32,-26,7
Total,298,-317,-19
,,,
,,,
UF = Minas Gerais,Admitidos,Desligados,Saldo
Extrativa mineral,4,-7,-3
Indústria de transformação,138,-151,-12
Serviços Industriais de Utilidade Pública,3,-3,-462
Construção Civil,125,-138,-14
