MUNICÍPIO,IDH
ABADIA DOS DOURADOS,0.689
ABAETÉ,0.698
ABRE CAMPO,0.654
ACAIACA,0.63
AÇUCENA,0.61
ÁGUA BOA,0.576
ÁGUA COMPRIDA,0.675
AGUANIL,0.663
ÁGUAS FORMOSAS,0.645
ÁGUAS VERMELHAS,0.601
AIMORÉS,0.684
AIURUOCA,0.668
ALAGOA,0.649
ALBERTINA,0.673
ALÉM PARAÍBA,0.726
ALFENAS,0.761
ALFREDO VASCONCELOS,0.675
ALMENARA,0.642
ALPERCATA,0.646
ALPINÓPOLIS,0.725
ALTEROSA,0.668
ALTO CAPARAÓ,0.661
ALTO JEQUITIBÁ,0.66
ALTO RIO DOCE,0.62
ALVARENGA,0.592
ALVINÓPOLIS,0.676
ALVORADA DE MINAS,0.572
AMPARO DO SERRA,0.641
ANDRADAS,0.734
ANDRELÂNDIA,0.7
ANGELÂNDIA,0.597
ANTÔNIO CARLOS,0.683
ANTÔNIO DIAS,0.645
ANTÔNIO PRADO DE MINAS,0.684
ARAÇAÍ,0.695
ARACITABA,0.661
ARAÇUAÍ,0.663
ARAGUARI,0.773
ARANTINA,0.697
ARAPONGA,0.536
ARAPORÃ,0.708
ARAPUÁ,0.724
ARAÚJOS,0.698
ARAXÁ,0.772
ARCEBURGO,0.683
ARCOS,0.749
AREADO,0.727
ARGIRITA,0.643
ARICANDUVA,0.582
ARINOS,0.656
ASTOLFO DUTRA,0.694
ATALÉIA,0.588
AUGUSTO DE LIMA,0.656
BAEPENDI,0.681
BALDIM,0.671
BAMBUÍ,0.741
BANDEIRA,0.599
BANDEIRA DO SUL,0.692
BARÃO DE COCAIS,0.722
BARÃO DE MONTE ALTO,0.649
BARBACENA,0.769
BARRA LONGA,0.624
BARROSO,0.734
BELA VISTA DE MINAS,0.674
BELMIRO BRAGA,0.66
BELO HORIZONTE,0.81
BELO ORIENTE,0.686
BELO VALE,0.655
BERILO,0.628
BERIZAL,0.604
BERTÓPOLIS,0.594
BETIM,0.749
BIAS FORTES,0.62
BICAS,0.744
BIQUINHAS,0.688
BOA ESPERANÇA,0.704
