,ANO,UF,CÓDIGO MUN,MUNICÍPIO,ZONA ELEITORAL,CANDIDATO,VOTOS
99,2014,MG,49972,PERDÕES,216,DILMA,5625
109,2014,MG,49212,OURO PRETO,200,DILMA,20680
110,2014,MG,43710,CONTAGEM,90,DILMA,67
831,2014,MG,52370,SÃO GONÇALO DO RIO ABAIXO,245,AÉCIO NEVES,3563
832,2014,MG,54038,UBERLÂNDIA,299,AÉCIO NEVES,22242
845,2014,MG,46272,IPIAÇU,302,AÉCIO NEVES,783
846,2014,MG,46353,ITABIRINHA,169,AÉCIO NEVES,2316
877,2014,MG,44571,DONA EUSÉBIA,79,AÉCIO NEVES,929
906,2014,MG,40940,JUVENÍLIA,342,AÉCIO NEVES,883
907,2014,MG,43176,CHÁCARA,155,AÉCIO NEVES,628
915,2014,MG,50199,PIRANGUINHO,51,AÉCIO NEVES,2508
916,2014,MG,46418,ITACARAMBI,148,AÉCIO NEVES,1631
917,2014,MG,43214,CHAPADA DO NORTE,177,AÉCIO NEVES,1337
924,2014,MG,48836,NACIP RAYDAN,212,AÉCIO NEVES,414
929,2014,MG,53139,SENADOR FIRMINO,261,AÉCIO NEVES,1763
935,2014,MG,46094,ILICÍNEA,43,AÉCIO NEVES,3043
936,2014,MG,52434,SÃO JOÃO BATISTA DO GLÓRIA,209,AÉCIO NEVES,2691
937,2014,MG,51217,RITÁPOLIS,256,AÉCIO NEVES,1727
947,2014,MG,42277,CAMPO FLORIDO,326,AÉCIO NEVES,1467
960,2014,MG,46396,ITACAMBIRA,325,AÉCIO NEVES,688
961,2014,MG,40932,ATALÉIA,270,AÉCIO NEVES,1154
968,2014,MG,53414,SERRO,262,AÉCIO NEVES,3017
982,2014,MG,41637,BONFINÓPOLIS DE MINAS,329,AÉCIO NEVES,1332
989,2014,MG,43710,CONTAGEM,313,AÉCIO NEVES,32123
990,2014,MG,45535,GOVERNADOR VALADARES,119,AÉCIO NEVES,14998
991,2014,MG,41238,BELO HORIZONTE,33,AÉCIO NEVES,48409
999,2014,MG,52574,SÃO JOÃO NEPOMUCENO,258,AÉCIO NEVES,4906
1008,2014,MG,44377,DIVINÉSIA,275,AÉCIO NEVES,1332
1013,2014,MG,41823,CANTAGALO,212,AÉCIO NEVES,818
1538,2014,MG,44350,DIONÍSIO,251,DILMA,2603
1577,2014,MG,40207,FERVEDOURO,69,DILMA,4083
1578,2014,MG,41998,CAETÉ,56,DILMA,8646
1579,2014,MG,43516,CONCEIÇÃO DO PARÁ,219,DILMA,1118
1580,2014,MG,42420,TAPARUBA,129,DILMA,1262
1581,2014,MG,41599,BOM SUCESSO,46,DILMA,4005
1582,2014,MG,45136,FELIXLÂNDIA,100,DILMA,3679
1583,2014,MG,41203,OLHOS D'ÁGUA,44,DILMA,2493
1587,2014,MG,44954,ESTRELA DO SUL,110,DILMA,2573
1588,2014,MG,45454,GALILÉIA,117,DILMA,1944
1589,2014,MG,49816,PEDRALVA,214,DILMA,2000
1594,2014,MG,41386,PINTÓPOLIS,252,DILMA,3078
1595,2014,MG,43273,CLARAVAL,127,DILMA,762
1596,2014,MG,45250,FORTALEZA DE MINAS,145,DILMA,937
1597,2014,MG,45977,IBITIÚRA DE MINAS,13,DILMA,779
1603,2014,MG,47252,JOÃO PINHEIRO,151,DILMA,15093
1604,2014,MG,41238,BELO HORIZONTE,38,DILMA,22661
1605,2014,MG,42293,CAMPOS ALTOS,327,DILMA,2889
1609,2014,MG,50059,PIEDADE DO RIO GRANDE,24,DILMA,1433
1610,2014,MG,46256,IPATINGA,131,DILMA,18654
1611,2014,MG,44598,DORES DE CAMPOS,228,DILMA,1940
1612,2014,MG,41556,BOM JESUS DO GALHO,72,DILMA,4805
1616,2014,MG,52639,SÃO JOSÉ DO ALEGRE,214,DILMA,657
1617,2014,MG,42617,CARANAÍBA,68,DILMA,1176
1618,2014,MG,40711,ARANTINA,14,DILMA,1279
1620,2014,MG,51870,SANTA RITA DE IBITIPOCA,24,DILMA,1547
1621,2014,MG,47791,MACHADO,164,DILMA,6615
1622,2014,MG,47139,JEQUITIBÁ,264,DILMA,1592
1623,2014,MG,47210,JOANÉSIA,176,DILMA,1587
1624,2014,MG,41122,NINHEIRA,237,DILMA,2806
1629,2014,MG,49492,PASSABÉM,132,DILMA,664
1630,2014,MG,40789,SÃO JOSÉ DA LAPA,311,DILMA,4950
1631,2014,MG,48151,MATIAS BARBOSA,173,DILMA,4312
1632,2014,MG,53872,TRÊS PONTAS,273,DILMA,13627
1633,2014,MG,47716,LIMA DUARTE,162,DILMA,5766
1634,2014,MG,43796,CORDISLÂNDIA,253,DILMA,981
1635,2014,MG,47155,JEQUITINHONHA,149,DILMA,7757
1636,2014,MG,44857,ESPINOSA,109,DILMA,11683
1637,2014,MG,47392,LADAINHA,270,DILMA,4532
1639,2014,MG,41432,BOCAINA DE MINAS,6,DILMA,1038
1642,2014,MG,47414,LAGAMAR,230,DILMA,2529
1643,2014,MG,42730,CARLOS CHAGAS,73,DILMA,5215
1644,2014,MG,40070,ACAIACA,225,DILMA,1639
1653,2014,MG,51411,SALTO DA DIVISA,144,DILMA,1933
1654,2014,MG,46833,ITUIUTABA,141,DILMA,34849
1656,2014,MG,52396,SÃO GONÇALO DO SAPUCAÍ,253,DILMA,5034
1660,2014,MG,52051,SANTO ANTÔNIO DO JACINTO,144,DILMA,2485
